Race #,WPM,Accuracy,Rank,# Racers,Text ID,Date/Time (UTC)
1,72,0.96,1,5,365,2015-04-07 08:26:44
2,65,0.96,2,5,394,2015-04-07 08:28:31
3,61,0.96,3,4,51,2015-04-07 08:29:25
4,64,0.94,4,5,283,2015-04-07 08:32:36
5,69,0.96,3,4,541,2015-04-07 08:35:59
6,66,0.96,1,3,664,2015-04-07 08:36:57
7,54,0.92,3,3,3100035,2015-04-07 08:37:45
8,71,0.97,2,3,584,2015-04-07 08:39:13
9,69,0.96,2,5,3100033,2015-04-07 08:40:32
10,59,0.93,4,5,313,2015-04-07 08:41:50
11,56,0.93,2,5,559,2015-04-09 18:16:59
12,70,0.96,1,5,336,2015-04-09 18:17:43
13,54,0.91,1,3,608,2015-04-10 05:05:03
14,64,0.93,2,5,262,2015-04-10 05:05:50
15,58,0.88,1,2,3100030,2015-04-10 05:07:20
16,63,0.93,2,5,662,2015-04-10 05:08:53
17,54,0.87,3,5,3100071,2015-04-10 05:10:07
18,65,0.94,2,4,101,2015-04-10 05:11:00
19,72,0.96,2,3,3100068,2015-04-10 05:12:41
20,70,0.95,1,3,149,2015-04-10 05:14:13
21,56,0.92,2,4,346,2015-04-10 05:15:33
22,71,0.95,2,5,413,2015-04-10 05:16:29
23,61,0.93,3,4,417,2015-04-10 05:17:35
24,65,0.94,1,5,497,2015-04-10 05:18:25
25,58,0.92,5,5,3100021,2015-04-10 05:19:49
26,63,0.92,2,3,3100000,2015-04-12 05:31:13
27,58,0.91,5,5,282,2015-04-12 05:32:42
28,56,0.93,2,4,3100088,2015-04-12 05:33:24
29,69,0.96,1,2,511,2015-04-12 05:34:48
30,65,0.94,2,4,529,2015-04-12 05:35:38
31,68,0.96,1,4,478,2015-04-12 05:36:43
32,62,0.94,2,4,509,2015-04-12 05:37:46
33,67,0.93,2,3,204,2015-04-12 09:54:30
34,74,0.96,2,5,3100010,2015-04-12 09:55:49
35,68,0.94,2,5,571,2015-04-12 09:56:58
36,59,0.91,3,5,559,2015-04-12 09:57:50
37,69,0.96,1,2,364,2015-04-12 09:58:52
38,67,0.94,1,4,260,2015-04-12 09:59:53
